statement,category,date,source,location
"India launched the Chandrayaan-3 mission on July 14, 2023, from Satish Dhawan Space Centre in Sriharikota. The mission successfully landed on the Moon's south pole on August 23, 2023, making India the first country to achieve this feat.",Space,2023-08-23,ISRO,Sriharikota
"The Indian government announced the production-linked incentive (PLI) scheme with an outlay of Rs 1.97 lakh crore across 14 sectors to boost domestic manufacturing and attract investments.",Economy,2021-11-11,Ministry of Finance,New Delhi
"India's Unified Payments Interface (UPI) recorded 10.73 billion transactions worth Rs 16.73 lakh crore in September 2023, showing a year-on-year growth of 58% in transaction volume.",Finance,2023-09-30,NPCI,India
"The Government of India launched the Ayushman Bharat Digital Mission (ABDM) on September 27, 2021, to create a digital health ecosystem. Over 400 million Ayushman Bharat Health Accounts have been created as of 2023.",Healthcare,2021-09-27,National Health Authority,New Delhi
"India hosted the G20 Summit in New Delhi on September 9-10, 2023, under the theme 'Vasudhaiva Kutumbakam' (One Earth, One Family, One Future). The African Union was admitted as a permanent member during this summit.",International Relations,2023-09-09,Ministry of External Affairs,New Delhi
"The Indian Railways announced the launch of Vande Bharat Express trains connecting major cities. As of October 2023, 23 Vande Bharat trains are operational across the country with speeds up to 180 km/h.",Transport,2023-10-15,Ministry of Railways,India
"India became the world's most populous country in April 2023, surpassing China with an estimated population of 1.4286 billion people according to UN data.",Demographics,2023-04-01,United Nations,India
"The Government of India launched the National Hydrogen Mission in August 2021 with a target to produce 5 million tonnes of green hydrogen annually by 2030 and make India a global hub for green hydrogen production.",Energy,2021-08-15,Ministry of New and Renewable Energy,New Delhi
"India's foreign exchange reserves reached an all-time high of USD 645 billion in October 2021. The reserves provide import cover of more than 13 months.",Economy,2021-10-29,Reserve Bank of India,Mumbai
"The Parliament of India passed the Women's Reservation Bill on September 21, 2023, providing 33% reservation for women in Lok Sabha and state legislative assemblies.",Governance,2023-09-21,Parliament of India,New Delhi
"India's GDP grew at 7.8% in the first quarter of FY 2023-24 (April-June 2023), making it the fastest-growing major economy in the world.",Economy,2023-08-31,Ministry of Statistics,New Delhi
"The Indian Space Research Organisation (ISRO) successfully launched Aditya-L1, India's first solar mission, on September 2, 2023, from Sriharikota to study the Sun's corona and solar winds.",Space,2023-09-02,ISRO,Sriharikota
"The Government of India implemented the New Education Policy (NEP) 2020, which introduced a 5+3+3+4 curricular structure replacing the 10+2 system and made education compulsory until age 18.",Education,2020-07-29,Ministry of Education,New Delhi
"India successfully tested the Agni-5 ballistic missile with a range of over 5,000 kilometers on December 15, 2022. The missile can carry nuclear warheads and strengthens India's strategic deterrence.",Defense,2022-12-15,DRDO,APJ Abdul Kalam Island
"The PM-KISAN scheme has benefited over 11 crore farmers with direct income support of Rs 6,000 per year transferred directly to their bank accounts. The scheme was launched in February 2019.",Agriculture,2019-02-24,Ministry of Agriculture,New Delhi
"India's renewable energy installed capacity crossed 180 GW in September 2023, accounting for over 42% of the total installed electricity capacity. Solar energy contributes about 70 GW.",Energy,2023-09-30,Ministry of Power,New Delhi
"The Government of India launched the National Logistics Policy in September 2022 to reduce logistics costs from 14% to less than 10% of GDP by 2030 and improve India's ranking in the Logistics Performance Index.",Infrastructure,2022-09-17,Ministry of Commerce,New Delhi
"India ranked 40th in the Global Innovation Index 2023, improving from 81st position in 2015. The country leads in innovation quality among middle-income economies.",Innovation,2023-09-27,World Intellectual Property Organization,Global
"The Indian Air Force inducted the Rafale fighter jets from France in a phased manner starting July 2020. A total of 36 Rafale aircraft were contracted for Rs 59,000 crore.",Defense,2020-07-29,Indian Air Force,Ambala
"India's digital economy is expected to reach USD 1 trillion by 2025-26, driven by e-commerce, fintech, and digital services. The country has over 850 million internet users as of 2023.",Technology,2023-10-01,Ministry of Electronics and IT,New Delhi
"The Smart Cities Mission was launched in June 2015 with the objective of developing 100 smart cities across India. Rs 48,000 crore has been allocated for urban transformation projects.",Urban Development,2015-06-25,Ministry of Housing and Urban Affairs,New Delhi
"India conducted its first census in 1872 under British rule. The most recent census was conducted in 2011, and the next census, originally scheduled for 2021, has been postponed.",Demographics,2011-02-09,Office of Registrar General,India
"The Reserve Bank of India introduced the Central Bank Digital Currency (CBDC) pilot for the digital rupee (e-Rupee) on December 1, 2022, making India one of the early adopters of digital currency.",Finance,2022-12-01,Reserve Bank of India,Mumbai
"India's merchandise exports reached USD 447 billion in FY 2022-23, while total trade (merchandise plus services) exceeded USD 1.2 trillion for the first time.",Trade,2023-04-30,Ministry of Commerce,New Delhi
"The Government of India launched the Jal Jeevan Mission in August 2019 to provide functional household tap water connection to every rural household by 2024. Over 12 crore households have been covered.",Water Resources,2019-08-15,Ministry of Jal Shakti,New Delhi
"India became the third country to land a spacecraft on the Moon after USSR and USA. Chandrayaan-3's Vikram lander touched down near the lunar south pole on August 23, 2023.",Space,2023-08-23,ISRO,Bengaluru
"The Pradhan Mantri Ujjwala Yojana (PMUY) launched in May 2016 has provided free LPG connections to over 9.6 crore women from below poverty line households to promote clean cooking fuel.",Social Welfare,2016-05-01,Ministry of Petroleum,Ballia
"India surpassed China to become the world's largest producer of sugar in 2023, producing approximately 35 million tonnes of sugar annually.",Agriculture,2023-06-30,Ministry of Agriculture,India
"The National Education Policy 2020 introduced teaching in mother tongue or regional language up to Grade 5, preferably till Grade 8 and beyond, to improve learning outcomes.",Education,2020-07-29,Ministry of Education,New Delhi
"India's tiger population increased to 3,167 in 2022 from 2,967 in 2018, showing a 6.7% growth, according to the All India Tiger Estimation report released on International Tiger Day.",Environment,2023-07-29,National Tiger Conservation Authority,New Delhi
